obs_index,permID,provID,trkSub,obsTime,ra_deg,dec_deg,mag,band,station,astCat,mode,injection_type,injection_magnitude_arcsec,is_targeted_row
0,99942,2004 MN4,K04M04N,2004-03-15 02:35:21.696000+00:00,61.53367,16.91794,,,691,USNOB1,CCD,targeted_outlier,30.0,False
1,99942,2004 MN4,K04M04N,2004-03-15 02:38:57.696000+00:00,61.53575,16.91836,,,691,USNOB1,CCD,targeted_outlier,30.0,False
2,99942,2004 MN4,K04M04N,2004-03-15 02:58:03.360000+00:00,61.54896,16.92097,,,691,USNOB1,CCD,targeted_outlier,30.0,False
3,99942,2004 MN4,K04M04N,2004-03-15 03:01:50.592000+00:00,61.55167,16.92158,,,691,USNOB1,CCD,targeted_outlier,30.0,False
4,99942,2004 MN4,K04M04N,2004-03-15 03:17:36.672000+00:00,61.56208,16.92372,,,691,USNOB1,CCD,targeted_outlier,30.0,False
5,99942,2004 MN4,K04M04N,2004-03-15 03:21:34.272000+00:00,61.56492,16.92419,,,691,USNOB1,CCD,targeted_outlier,30.0,False
6,99942,2004 MN4,,2004-06-19 04:05:00.960000+00:00,146.123575,13.314153,,,695,USNOB1,UNK,targeted_outlier,30.0,False
7,99942,,99942,2004-06-19 04:05:00.960000+00:00,146.123654,13.314075,,,695,2MASS,CCD,targeted_outlier,30.0,False
8,99942,,99942,2004-06-19 04:11:47.990000+00:00,146.127517,13.313003,,,695,2MASS,CCD,targeted_outlier,30.0,False
9,99942,,99942,2004-06-19 04:18:44.006000+00:00,146.131279,13.311919,,,695,2MASS,CCD,targeted_outlier,30.0,False
10,99942,,99942,2004-06-20 03:49:42.010000+00:00,146.921317,13.090136,,,695,2MASS,CCD,targeted_outlier,30.0,False
11,99942,,99942,2004-06-20 03:56:36.989000+00:00,146.925025,13.089028,,,695,2MASS,CCD,targeted_outlier,30.0,False
12,99942,,99942,2004-06-20 04:03:27.043000+00:00,146.928858,13.087983,,,695,2MASS,CCD,targeted_outlier,30.0,False
13,99942,2004 MN4,4X4E25A,2004-12-18 10:09:22.752000+00:00,348.02946,-36.6195,18.7,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
14,99942,2004 MN4,4X4E25A,2004-12-18 10:20:23.712000+00:00,348.05508,-36.61461,18.1,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
15,99942,2004 MN4,4X4E25A,2004-12-18 10:31:22.944000+00:00,348.07983,-36.60944,19.1,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
16,99942,2004 MN4,4X4E25A,2004-12-18 10:42:23.040000+00:00,348.10496,-36.60408,18.2,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
17,99942,2004 MN4,4X4E25B,2004-12-18 10:55:55.200000+00:00,348.13625,-36.59781,18.6,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
18,99942,2004 MN4,4X4E25B,2004-12-18 10:57:05.184000+00:00,348.13892,-36.59728,18.3,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
19,99942,2004 MN4,4X4E25B,2004-12-18 10:58:16.032000+00:00,348.14162,-36.59667,18.0,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
20,99942,2004 MN4,4X4E25B,2004-12-18 10:59:25.152000+00:00,348.14433,-36.596,18.7,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
21,99942,2004 MN4,4X4E25A,2004-12-18 11:46:20.928000+00:00,348.253,-36.57347,18.5,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
22,99942,2004 MN4,4X4E25A,2004-12-18 11:47:30.912000+00:00,348.25558,-36.57281,18.0,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
23,99942,2004 MN4,4X4E25A,2004-12-18 11:48:40.896000+00:00,348.25842,-36.57242,18.4,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
24,99942,2004 MN4,4X4E25A,2004-12-18 11:49:50.880000+00:00,348.26087,-36.57183,18.0,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
25,99942,2004 MN4,4X4E25A,2004-12-19 01:53:47.328000+00:00,350.27346,-36.216,18.7,R,854,USNOA2,CCD,targeted_outlier,30.0,False
26,99942,2004 MN4,4X4E25A,2004-12-19 02:00:43.776000+00:00,350.28875,-36.21192,18.8,R,854,USNOA2,CCD,targeted_outlier,30.0,False
27,99942,2004 MN4,4X4E25A,2004-12-19 02:07:41.952000+00:00,350.30513,-36.20875,18.6,R,854,USNOA2,CCD,targeted_outlier,30.0,False
28,99942,2004 MN4,4X4E25A,2004-12-19 02:14:41.856000+00:00,350.32033,-36.20558,18.3,R,854,USNOA2,CCD,targeted_outlier,30.0,False
29,99942,2004 MN4,4X4E25A,2004-12-19 02:21:50.400000+00:00,350.33663,-36.20197,18.7,R,854,USNOA2,CCD,targeted_outlier,30.0,False
30,99942,2004 MN4,4X4E25A,2004-12-19 11:01:34.752000+00:00,351.54658,-35.91444,16.7,R,474,USNOA2,CCD,targeted_outlier,30.0,False
31,99942,2004 MN4,4X4E25A,2004-12-19 11:03:14.976000+00:00,351.55042,-35.91353,16.9,R,474,USNOA2,CCD,targeted_outlier,30.0,False
32,99942,2004 MN4,4X4E25A,2004-12-19 11:04:24.960000+00:00,351.55304,-35.91294,16.5,R,474,USNOA2,CCD,targeted_outlier,30.0,False
33,99942,2004 MN4,4X4E25A,2004-12-19 11:09:04.896000+00:00,351.56392,-35.91033,16.6,R,474,USNOA2,CCD,targeted_outlier,30.0,False
34,99942,2004 MN4,4X4E25A,2004-12-20 01:39:39.744000+00:00,353.61442,-35.49172,18.5,R,673,USNOA2,CCD,targeted_outlier,30.0,False
35,99942,2004 MN4,4X4E25A,2004-12-20 01:50:45.024000+00:00,353.639,-35.48553,,,673,USNOA2,CCD,targeted_outlier,30.0,False
36,99942,2004 MN4,4X4E25A,2004-12-20 01:59:19.968000+00:00,353.65792,-35.48092,,,673,USNOA2,CCD,targeted_outlier,30.0,False
37,99942,2004 MN4,4X4E25A,2004-12-20 02:09:36+00:00,353.68071,-35.47517,,,673,USNOA2,CCD,targeted_outlier,30.0,False
