obs_index,permID,provID,trkSub,obsTime,ra_deg,dec_deg,mag,band,station,astCat,mode,injection_type,injection_magnitude_arcsec,is_targeted_row
38,99942,2004 MN4,4X4E289,2004-12-22 11:20:39.034000+00:00,1.41117,-33.34539,18.5,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
39,99942,2004 MN4,4X4E289,2004-12-22 11:21:11.002000+00:00,1.41229,-33.34506,17.6,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
40,99942,2004 MN4,4X4E289,2004-12-22 11:21:42.106000+00:00,1.41308,-33.34475,17.6,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
41,99942,2004 MN4,4X4E289,2004-12-22 11:22:12.346000+00:00,1.41458,-33.34428,16.6,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
42,99942,2004 MN4,AS38864,2004-12-23 01:32:15.648000+00:00,3.27254,-32.78136,17.3,V,704,USNOA2,CCD,targeted_outlier,30.0,False
43,99942,2004 MN4,AS38893,2004-12-23 01:32:19.968000+00:00,3.27346,-32.78169,18.2,V,704,USNOA2,CCD,targeted_outlier,30.0,False
44,99942,2004 MN4,AS38864,2004-12-23 02:11:35.232000+00:00,3.35279,-32.75375,17.7,V,704,USNOA2,CCD,targeted_outlier,30.0,False
45,99942,2004 MN4,AS38893,2004-12-23 02:13:34.464000+00:00,3.35746,-32.75261,17.5,V,704,USNOA2,CCD,targeted_outlier,30.0,False
46,99942,2004 MN4,AS38864,2004-12-23 02:31:28.416000+00:00,3.39379,-32.73908,17.7,V,704,USNOA2,CCD,targeted_outlier,30.0,False
47,99942,2004 MN4,AS38893,2004-12-23 02:34:58.368000+00:00,3.40117,-32.73703,17.8,V,704,USNOA2,CCD,targeted_outlier,30.0,False
48,99942,2004 MN4,AS38864,2004-12-23 02:51:06.048000+00:00,3.43371,-32.72503,17.5,V,704,USNOA2,CCD,targeted_outlier,30.0,False
49,99942,2004 MN4,AS38893,2004-12-23 02:55:14.016000+00:00,3.44238,-32.72228,17.5,V,704,USNOA2,CCD,targeted_outlier,30.0,False
50,99942,2004 MN4,4X4E29E,2004-12-23 10:37:28.416000+00:00,4.42333,-32.36767,16.3,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
51,99942,2004 MN4,4X4E29E,2004-12-23 10:37:58.656000+00:00,4.424,-32.36719,17.3,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
52,99942,2004 MN4,4X4E29E,2004-12-23 10:38:28.032000+00:00,4.42521,-32.36681,17.1,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
53,99942,2004 MN4,4X4E29E,2004-12-23 10:38:58.272000+00:00,4.42625,-32.36656,17.2,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
54,99942,2004 MN4,4X4E29E,2004-12-23 10:39:56.160000+00:00,4.42813,-32.36578,17.0,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
55,99942,2004 MN4,4X4E29E,2004-12-23 10:40:25.536000+00:00,4.42921,-32.36536,17.4,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
56,99942,2004 MN4,4X4E29E,2004-12-23 10:40:55.776000+00:00,4.43029,-32.36506,16.7,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
57,99942,2004 MN4,4X4E29E,2004-12-23 10:41:26.016000+00:00,4.43125,-32.36461,16.9,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
58,99942,2004 MN4,4X4E2A1,2004-12-23 11:36:56.736000+00:00,4.54429,-32.32244,17.5,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
59,99942,2004 MN4,4X4E2A1,2004-12-23 11:37:26.976000+00:00,4.54558,-32.32228,16.8,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
60,99942,2004 MN4,4X4E2A1,2004-12-23 11:37:58.080000+00:00,4.54646,-32.32164,17.1,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
61,99942,2004 MN4,4X4E2A1,2004-12-23 11:38:28.320000+00:00,4.54737,-32.32133,17.3,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
62,99942,2004 MN4,4X4E2A1,2004-12-23 11:44:38.976000+00:00,4.56013,-32.31656,17.3,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
63,99942,2004 MN4,4X4E2A1,2004-12-23 11:45:09.216000+00:00,4.56108,-32.31611,17.0,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
64,99942,2004 MN4,4X4E2A1,2004-12-23 11:45:38.592000+00:00,4.56229,-32.316,17.1,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
65,99942,2004 MN4,4X4E2A1,2004-12-23 11:46:08.832000+00:00,4.56317,-32.31558,17.4,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
66,99942,2004 MN4,4X4E2A3,2004-12-23 12:46:10.848000+00:00,4.68696,-32.26936,17.2,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
67,99942,2004 MN4,4X4E2A3,2004-12-23 12:46:41.088000+00:00,4.68783,-32.26883,17.9,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
68,99942,2004 MN4,4X4E2A3,2004-12-23 12:47:11.328000+00:00,4.68892,-32.26864,17.7,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
69,99942,2004 MN4,4X4E2A3,2004-12-23 12:47:43.296000+00:00,4.69029,-32.26822,17.9,R,E12,UCAC2,CCD,targeted_outlier,30.0,False
70,99942,2004 MN4,K04M04N,2004-12-24 01:50:17.376000+00:00,6.34933,-31.72019,17.7,R,683,GSCACT,CCD,targeted_outlier,30.0,False
71,99942,2004 MN4,K04M04N,2004-12-24 01:54:52.128000+00:00,6.35867,-31.71669,17.5,R,683,GSCACT,CCD,targeted_outlier,30.0,False
72,99942,2004 MN4,6CO002,2004-12-24 02:38:38.688000+00:00,6.44463,-31.68406,16.8,R,699,USNOB1,CCD,targeted_outlier,30.0,False
73,99942,2004 MN4,6CO002,2004-12-24 02:49:12.864000+00:00,6.46546,-31.67592,,,699,USNOB1,CCD,targeted_outlier,30.0,False
74,99942,2004 MN4,6CO002,2004-12-24 02:59:47.904000+00:00,6.48629,-31.66783,,,699,USNOB1,CCD,targeted_outlier,30.0,False
75,99942,2004 MN4,6CO002,2004-12-24 03:10:22.080000+00:00,6.50708,-31.65983,,,699,USNOB1,CCD,targeted_outlier,30.0,False
76,99942,2004 MN4,6CO003,2004-12-24 03:35:43.584000+00:00,6.55758,-31.64061,17.2,R,699,USNOB1,CCD,targeted_outlier,30.0,False
77,99942,2004 MN4,6CO003,2004-12-24 03:39:44.640000+00:00,6.56471,-31.63683,,,699,USNOB1,CCD,targeted_outlier,30.0,False
78,99942,2004 MN4,6CO003,2004-12-24 03:43:45.696000+00:00,6.57296,-31.63411,,,699,USNOB1,CCD,targeted_outlier,30.0,False
79,99942,2004 MN4,6CO003,2004-12-24 03:47:47.616000+00:00,6.58088,-31.63072,,,699,USNOB1,CCD,targeted_outlier,30.0,False
80,99942,2004 MN4,K04M04N,2004-12-24 18:00:50.112000+00:00,8.336713,-30.982831,16.6,R,620,USNOB1,CCD,targeted_outlier,30.0,False
81,99942,2004 MN4,K04M04N,2004-12-24 18:12:33.408000+00:00,8.359154,-30.9737,16.9,R,620,USNOB1,CCD,targeted_outlier,30.0,False
82,99942,2004 MN4,K04M04N,2004-12-24 18:23:24+00:00,8.380021,-30.965356,16.9,R,620,USNOB1,CCD,targeted_outlier,30.0,False
83,99942,2004 MN4,JS00130,2004-12-25 01:34:58.944000+00:00,9.24571,-30.62847,17.6,R,H06,USNOB1,CCD,targeted_outlier,30.0,False
84,99942,2004 MN4,JS00130,2004-12-25 01:42:49.824000+00:00,9.26058,-30.62228,17.8,R,H06,USNOB1,CCD,targeted_outlier,30.0,False
85,99942,2004 MN4,K04M04N,2004-12-25 01:48:08.640000+00:00,9.27329,-30.61808,19.2,R,683,GSCACT,CCD,targeted_outlier,30.0,False
86,99942,2004 MN4,K04M04N,2004-12-25 01:51:32.544000+00:00,9.27967,-30.61544,18.9,R,683,GSCACT,CCD,targeted_outlier,30.0,False
87,99942,2004 MN4,JS00130,2004-12-25 01:52:04.512000+00:00,9.27817,-30.61508,17.7,R,H06,USNOB1,CCD,targeted_outlier,30.0,False
88,99942,2004 MN4,K04M04N,2004-12-25 01:54:09.792000+00:00,9.28446,-30.61367,18.0,R,683,GSCACT,CCD,targeted_outlier,30.0,False
89,99942,2004 MN4,K04M04N,2004-12-25 01:56:47.904000+00:00,9.28937,-30.61128,18.5,R,683,GSCACT,CCD,targeted_outlier,30.0,False
90,99942,2004 MN4,K04M04N,2004-12-25 01:59:30.336000+00:00,9.29471,-30.60925,18.6,R,683,GSCACT,CCD,targeted_outlier,30.0,False
91,99942,2004 MN4,K04M04N,2004-12-25 02:02:06.720000+00:00,9.29971,-30.60733,19.6,R,683,GSCACT,CCD,targeted_outlier,30.0,False
92,99942,2004 MN4,K04M04N,2004-12-25 02:05:55.680000+00:00,9.30667,-30.60417,19.4,R,683,GSCACT,CCD,targeted_outlier,30.0,False
93,99942,2004 MN4,K04M04N,2004-12-25 02:12:07.200000+00:00,9.31846,-30.59931,18.9,R,683,GSCACT,CCD,targeted_outlier,30.0,False
94,99942,2004 MN4,K04M04N,2004-12-25 02:24:41.472000+00:00,9.34196,-30.58944,18.5,R,683,GSCACT,CCD,targeted_outlier,30.0,False
95,99942,2004 MN4,K04M04N,2004-12-25 02:30:00.288000+00:00,9.35213,-30.58528,18.1,R,683,GSCACT,CCD,targeted_outlier,30.0,False
96,99942,2004 MN4,K04M04N,2004-12-25 02:35:41.568000+00:00,9.36292,-30.58064,18.2,R,683,GSCACT,CCD,targeted_outlier,30.0,False
97,99942,2004 MN4,K04M04N,2004-12-25 02:45:09.216000+00:00,9.38054,-30.57297,18.3,R,683,GSCACT,CCD,targeted_outlier,30.0,False
98,99942,2004 MN4,K04M04N,2004-12-25 02:52:09.120000+00:00,9.39371,-30.56758,18.1,R,683,GSCACT,CCD,targeted_outlier,30.0,False
99,99942,2004 MN4,K04M04N,2004-12-25 02:55:06.240000+00:00,9.3995,-30.56531,17.9,R,683,GSCACT,CCD,targeted_outlier,30.0,False
100,99942,2004 MN4,K04M04N,2004-12-25 03:00:44.928000+00:00,9.41033,-30.56069,18.7,R,683,GSCACT,CCD,targeted_outlier,30.0,False
101,99942,2004 MN4,K04M04N,2004-12-25 03:04:17.472000+00:00,9.41696,-30.55789,17.9,R,683,GSCACT,CCD,targeted_outlier,30.0,False
102,99942,2004 MN4,K04M04N,2004-12-25 03:07:00.768000+00:00,9.42204,-30.55556,18.1,R,683,GSCACT,CCD,targeted_outlier,30.0,False
103,99942,2004 MN4,K04M04N,2004-12-25 03:13:40.800000+00:00,9.43442,-30.55058,18.1,R,683,GSCACT,CCD,targeted_outlier,30.0,False
104,99942,2004 MN4,K04M04N,2004-12-25 03:19:08.256000+00:00,9.44512,-30.54606,18.5,R,683,GSCACT,CCD,targeted_outlier,30.0,False
105,99942,2004 MN4,K04M04N,2004-12-25 04:25:13.152000+00:00,9.56896,-30.49197,16.3,R,448,UCAC2,CCD,targeted_outlier,30.0,False
106,99942,2004 MN4,K04M04N,2004-12-25 04:28:25.824000+00:00,9.57508,-30.48936,16.3,R,448,UCAC2,CCD,targeted_outlier,30.0,False
107,99942,2004 MN4,K04M04N,2004-12-25 04:32:17.376000+00:00,9.58242,-30.48619,16.3,R,448,UCAC2,CCD,targeted_outlier,30.0,False
108,99942,2004 MN4,K04M04N,2004-12-26 00:01:55.776000+00:00,11.88692,-29.55725,16.9,V,H36,UCAC2,CCD,targeted_outlier,30.0,False
109,99942,2004 MN4,K04M04N,2004-12-26 00:06:38.304000+00:00,11.89571,-29.55339,17.3,V,H36,UCAC2,CCD,targeted_outlier,30.0,False
110,99942,2004 MN4,K04M04N,2004-12-26 00:25:57.792000+00:00,11.93075,-29.53828,17.8,V,H36,UCAC2,CCD,targeted_outlier,30.0,False
111,99942,2004 MN4,K04M04N,2004-12-26 00:37:48+00:00,11.95237,-29.52864,17.1,V,H36,UCAC2,CCD,targeted_outlier,30.0,False
112,99942,2004 MN4,K04M04N,2004-12-26 00:55:06.528000+00:00,11.98421,-29.51467,17.3,V,H36,UCAC2,CCD,targeted_outlier,30.0,False
113,99942,2004 MN4,K04M04N,2004-12-26 01:06:55.008000+00:00,12.00563,-29.50494,17.6,V,H36,UCAC2,CCD,targeted_outlier,30.0,False
114,99942,2004 MN4,JS00131,2004-12-26 01:09:56.448000+00:00,12.01467,-29.50161,17.1,V,H06,USNOB1,CCD,targeted_outlier,30.0,False
115,99942,2004 MN4,K04M04N,2004-12-26 01:13:34.176000+00:00,12.02196,-29.49853,17.2,R,715,UCAC2,CCD,targeted_outlier,30.0,False
116,99942,2004 MN4,JS00131,2004-12-26 01:16:42.528000+00:00,12.027,-29.49611,17.3,V,H06,USNOB1,CCD,targeted_outlier,30.0,False
117,99942,2004 MN4,K04M04N,2004-12-26 01:17:58.560000+00:00,12.02921,-29.49481,16.5,R,H06,USNOB1,CCD,targeted_outlier,30.0,False
118,99942,2004 MN4,K04M04N,2004-12-26 01:18:08.064000+00:00,12.02575,-29.496,17.6,V,H36,UCAC2,CCD,targeted_outlier,30.0,False
119,99942,2004 MN4,K04M04N,2004-12-26 01:19:17.184000+00:00,12.03225,-29.49389,17.2,R,715,UCAC2,CCD,targeted_outlier,30.0,False
120,99942,2004 MN4,K04M04N,2004-12-26 01:20:01.248000+00:00,12.03321,-29.49317,16.5,R,H06,USNOB1,CCD,targeted_outlier,30.0,False
121,99942,2004 MN4,K04M04N,2004-12-26 01:22:03.072000+00:00,12.03675,-29.49167,16.5,R,H06,USNOB1,CCD,targeted_outlier,30.0,False
122,99942,2004 MN4,JS00131,2004-12-26 01:23:07.008000+00:00,12.03862,-29.49089,17.1,V,H06,USNOB1,CCD,targeted_outlier,30.0,False
123,99942,2004 MN4,K04M04N,2004-12-26 01:24:56.736000+00:00,12.0425,-29.48939,17.4,R,715,UCAC2,CCD,targeted_outlier,30.0,False
124,99942,2004 MN4,K04M04N,2004-12-26 01:30:31.968000+00:00,12.05258,-29.48489,17.1,R,715,UCAC2,CCD,targeted_outlier,30.0,False
125,99942,2004 MN4,JS00132,2004-12-26 01:38:13.344000+00:00,12.06596,-29.47864,17.2,V,H06,USNOB1,CCD,targeted_outlier,30.0,False
126,99942,2004 MN4,K04M04N,2004-12-26 01:50:15.648000+00:00,12.09013,-29.46883,17.9,R,683,GSCACT,CCD,targeted_outlier,30.0,False
127,99942,2004 MN4,K04M04N,2004-12-26 01:53:30.912000+00:00,12.09596,-29.46628,18.0,R,683,GSCACT,CCD,targeted_outlier,30.0,False
128,99942,2004 MN4,JS00132,2004-12-26 01:54:09.792000+00:00,12.09467,-29.4655,17.0,V,H06,USNOB1,CCD,targeted_outlier,30.0,False
129,99942,2004 MN4,K04M04N,2004-12-26 01:57:59.616000+00:00,12.10375,-29.46247,18.5,R,683,GSCACT,CCD,targeted_outlier,30.0,False
130,99942,2004 MN4,K04M04N,2004-12-26 02:02:51.648000+00:00,12.11288,-29.45856,19.3,R,683,GSCACT,CCD,targeted_outlier,30.0,False
131,99942,2004 MN4,JS00132,2004-12-26 02:03:40.032000+00:00,12.11204,-29.45803,17.4,V,H06,USNOB1,CCD,targeted_outlier,30.0,False
132,99942,2004 MN4,K04M04N,2004-12-26 02:05:37.536000+00:00,12.11775,-29.45642,18.4,R,683,GSCACT,CCD,targeted_outlier,30.0,False
133,99942,2004 MN4,K04M04N,2004-12-26 02:09:10.080000+00:00,12.12458,-29.45367,19.0,R,683,GSCACT,CCD,targeted_outlier,30.0,False
134,99942,2004 MN4,K04M04N,2004-12-26 02:10:43.392000+00:00,12.12446,-29.45197,16.5,R,H06,USNOB1,CCD,targeted_outlier,30.0,False
135,99942,2004 MN4,K04M04N,2004-12-26 02:11:50.784000+00:00,12.12908,-29.45144,18.2,R,683,GSCACT,CCD,targeted_outlier,30.0,False
136,99942,2004 MN4,K04M04N,2004-12-26 02:14:08.160000+00:00,12.13075,-29.44928,16.6,R,H06,USNOB1,CCD,targeted_outlier,30.0,False
137,99942,2004 MN4,JS00133,2004-12-26 02:14:59.136000+00:00,12.13237,-29.44892,17.3,V,H06,USNOB1,CCD,targeted_outlier,30.0,False
138,99942,2004 MN4,K04M04N,2004-12-26 02:16:38.496000+00:00,12.13779,-29.44747,19.0,R,683,GSCACT,CCD,targeted_outlier,30.0,False
139,99942,2004 MN4,K04M04N,2004-12-26 02:17:28.608000+00:00,12.13704,-29.44656,16.6,R,H06,USNOB1,CCD,targeted_outlier,30.0,False
140,99942,2004 MN4,K04M04N,2004-12-26 02:19:19.200000+00:00,12.14246,-29.44525,19.2,R,683,GSCACT,CCD,targeted_outlier,30.0,False
141,99942,2004 MN4,6CQ001,2004-12-26 02:21:55.584000+00:00,12.14779,-29.44381,16.8,R,699,USNOB1,CCD,targeted_outlier,30.0,False
142,99942,2004 MN4,K04M04N,2004-12-26 02:22:22.368000+00:00,12.14833,-29.44325,19.3,R,683,GSCACT,CCD,targeted_outlier,30.0,False
143,99942,2004 MN4,6CQ001,2004-12-26 02:22:36.192000+00:00,12.14883,-29.44308,,,699,USNOB1,CCD,targeted_outlier,30.0,False
144,99942,2004 MN4,6CQ001,2004-12-26 02:23:15.072000+00:00,12.15021,-29.44286,,,699,USNOB1,CCD,targeted_outlier,30.0,False
145,99942,2004 MN4,6CQ001,2004-12-26 02:23:54.816000+00:00,12.15117,-29.44214,,,699,USNOB1,CCD,targeted_outlier,30.0,False
146,99942,2004 MN4,K04M04N,2004-12-26 02:25:02.208000+00:00,12.15275,-29.44075,18.3,R,683,GSCACT,CCD,targeted_outlier,30.0,False
147,99942,2004 MN4,K04M04N,2004-12-26 02:27:57.600000+00:00,12.15808,-29.43808,16.9,R,651,USNOA2,CCD,targeted_outlier,30.0,False
148,99942,2004 MN4,K04M04N,2004-12-26 02:28:07.104000+00:00,12.15854,-29.43792,17.9,R,683,GSCACT,CCD,targeted_outlier,30.0,False
149,99942,2004 MN4,K04M04N,2004-12-26 02:30:02.880000+00:00,12.16183,-29.43636,16.9,R,651,USNOA2,CCD,targeted_outlier,30.0,False
150,99942,2004 MN4,K04M04N,2004-12-26 02:31:20.640000+00:00,12.16425,-29.43525,16.8,R,651,USNOA2,CCD,targeted_outlier,30.0,False
151,99942,2004 MN4,K04M04N,2004-12-26 02:37:56.352000+00:00,12.17604,-29.42983,16.7,R,651,USNOA2,CCD,targeted_outlier,30.0,False
152,99942,2004 MN4,K04M04N,2004-12-26 02:38:38.688000+00:00,12.17758,-29.42925,18.5,R,683,GSCACT,CCD,targeted_outlier,30.0,False
153,99942,2004 MN4,K04M04N,2004-12-26 02:38:48.192000+00:00,12.17604,-29.42917,17.3,R,448,UCAC2,CCD,targeted_outlier,30.0,False
154,99942,2004 MN4,JS00133,2004-12-26 02:38:58.560000+00:00,12.17583,-29.42911,16.7,V,H06,USNOB1,CCD,targeted_outlier,30.0,False
155,99942,2004 MN4,K04M04N,2004-12-26 02:39:27.072000+00:00,12.17879,-29.42861,16.8,R,651,USNOA2,CCD,targeted_outlier,30.0,False
156,99942,2004 MN4,K04M04N,2004-12-26 02:41:02.976000+00:00,12.18171,-29.42725,16.9,R,651,USNOA2,CCD,targeted_outlier,30.0,False
157,99942,2004 MN4,K04M04N,2004-12-26 02:41:25.440000+00:00,12.18267,-29.42725,18.1,R,683,GSCACT,CCD,targeted_outlier,30.0,False
158,99942,2004 MN4,K04M04N,2004-12-26 02:44:14.784000+00:00,12.18746,-29.42481,18.4,R,683,GSCACT,CCD,targeted_outlier,30.0,False
159,99942,2004 MN4,K04M04N,2004-12-26 02:46:52.896000+00:00,12.19229,-29.42256,18.8,R,683,GSCACT,CCD,targeted_outlier,30.0,False
160,99942,2004 MN4,K04M04N,2004-12-26 02:48:04.608000+00:00,12.19288,-29.4215,17.5,R,448,UCAC2,CCD,targeted_outlier,30.0,False
161,99942,2004 MN4,K04M04N,2004-12-26 02:49:36.192000+00:00,12.19742,-29.42033,18.0,R,683,GSCACT,CCD,targeted_outlier,30.0,False
162,99942,2004 MN4,JS00133,2004-12-26 02:50:34.080000+00:00,12.19683,-29.41956,17.3,V,H06,USNOB1,CCD,targeted_outlier,30.0,False
163,99942,2004 MN4,K04M04N,2004-12-26 02:50:34.944000+00:00,12.19896,-29.41942,16.7,R,651,USNOA2,CCD,targeted_outlier,30.0,False
164,99942,2004 MN4,K04M04N,2004-12-26 02:52:34.176000+00:00,12.20254,-29.41769,16.5,R,651,USNOA2,CCD,targeted_outlier,30.0,False
165,99942,2004 MN4,K04M04N,2004-12-26 02:53:51.936000+00:00,12.20488,-29.41678,16.5,R,651,USNOA2,CCD,targeted_outlier,30.0,False
166,99942,2004 MN4,K04M04N,2004-12-26 02:55:10.560000+00:00,12.20725,-29.41561,17.0,R,651,USNOA2,CCD,targeted_outlier,30.0,False
167,99942,2004 MN4,K04M04N,2004-12-26 02:56:30.912000+00:00,12.20958,-29.41478,19.2,R,683,GSCACT,CCD,targeted_outlier,30.0,False
168,99942,2004 MN4,K04M04N,2004-12-26 02:57:08.928000+00:00,12.21079,-29.414,16.5,R,651,USNOA2,CCD,targeted_outlier,30.0,False
169,99942,2004 MN4,K04M04N,2004-12-26 02:57:21.888000+00:00,12.20963,-29.41383,17.4,R,448,UCAC2,CCD,targeted_outlier,30.0,False
170,99942,2004 MN4,K04M04N,2004-12-26 03:02:02.688000+00:00,12.22017,-29.40989,19.5,R,683,GSCACT,CCD,targeted_outlier,30.0,False
171,99942,2004 MN4,K04M04N,2004-12-26 03:05:24.864000+00:00,12.22579,-29.40731,18.2,R,683,GSCACT,CCD,targeted_outlier,30.0,False
