obs_index,permID,provID,trkSub,obsTime,ra_deg,dec_deg,mag,band,station,astCat,mode,injection_type,injection_magnitude_arcsec
0,101955,1999 RQ36,J99R36Q,1999-09-11 09:44:59.136000+00:00,24.479305555555555,-27.073754444444447,15.1,V,704,USNOA1,CCD,systematic_bias,2.0
1,101955,1999 RQ36,J99R36Q,1999-09-11 10:06:56.736000+00:00,24.501305555555554,-27.066004444444445,15.1,V,704,USNOA1,CCD,systematic_bias,2.0
2,101955,1999 RQ36,J99R36Q,1999-09-11 10:29:31.488000+00:00,24.523925555555554,-27.057834444444445,15.3,V,704,USNOA1,CCD,systematic_bias,2.0
3,101955,1999 RQ36,J99R36Q,1999-09-11 10:51:03.168000+00:00,24.545675555555555,-27.049754444444446,15.4,V,704,USNOA1,CCD,systematic_bias,2.0
4,101955,1999 RQ36,J99R36Q,1999-09-11 11:12:12.384000+00:00,24.567345555555555,-27.041774444444446,15.2,V,704,USNOA1,CCD,systematic_bias,2.0
5,101955,1999 RQ36,C89272,1999-09-12 00:24:36.576000+00:00,25.617515555555553,-26.755554444444446,14.1,V,595,UNK,CCD,systematic_bias,2.0
6,101955,1999 RQ36,C89272,1999-09-12 00:28:37.632000+00:00,25.622095555555553,-26.754084444444445,,,595,UNK,CCD,systematic_bias,2.0
7,101955,1999 RQ36,C89272,1999-09-12 00:30:22.176000+00:00,25.626475555555555,-26.752274444444446,,,108,GSC,CCD,systematic_bias,2.0
8,101955,1999 RQ36,C89272,1999-09-12 00:31:01.056000+00:00,25.624055555555554,-26.754304444444447,15.0,R,046,USNOSA2,CCD,systematic_bias,2.0
9,101955,1999 RQ36,C89272,1999-09-12 00:32:10.176000+00:00,25.625265555555554,-26.753774444444446,,,046,USNOSA2,CCD,systematic_bias,2.0
10,101955,1999 RQ36,C89272,1999-09-12 00:32:10.176000+00:00,25.629885555555553,-26.751914444444445,,,108,GSC,CCD,systematic_bias,2.0
11,101955,1999 RQ36,C89272,1999-09-12 00:32:40.416000+00:00,25.626675555555554,-26.752614444444447,,,595,UNK,CCD,systematic_bias,2.0
12,101955,1999 RQ36,C89272,1999-09-12 00:33:29.664000+00:00,25.626765555555554,-26.753194444444446,,,046,USNOSA2,CCD,systematic_bias,2.0
13,101955,1999 RQ36,C89272,1999-09-12 00:35:21.120000+00:00,25.628975555555552,-26.752524444444447,,,046,USNOSA2,CCD,systematic_bias,2.0
14,101955,1999 RQ36,C89272,1999-09-12 00:36:19.872000+00:00,25.633265555555553,-26.750944444444446,,,108,GSC,CCD,systematic_bias,2.0
15,101955,1999 RQ36,C89272,1999-09-12 00:36:31.104000+00:00,25.630385555555552,-26.752254444444446,,,046,USNOSA2,CCD,systematic_bias,2.0
16,101955,1999 RQ36,C89272,1999-09-12 00:36:50.976000+00:00,25.631385555555553,-26.750974444444445,,,595,UNK,CCD,systematic_bias,2.0
17,101955,1999 RQ36,C89272,1999-09-12 00:37:39.360000+00:00,25.631595555555553,-26.751724444444445,,,046,USNOSA2,CCD,systematic_bias,2.0
18,101955,1999 RQ36,C89272,1999-09-12 00:45:57.888000+00:00,25.644305555555555,-26.746974444444447,14.8,V,108,GSC,CCD,systematic_bias,2.0
19,101955,1999 RQ36,C89272,1999-09-12 01:59:03.552000+00:00,25.734095555555555,-26.716754444444447,,,620,GSC,CCD,systematic_bias,2.0
20,101955,1999 RQ36,C89272,1999-09-12 02:07:49.728000+00:00,25.743765555555555,-26.713164444444445,,,620,GSC,CCD,systematic_bias,2.0
21,101955,1999 RQ36,C89272,1999-09-12 02:13:25.824000+00:00,25.750055555555555,-26.711114444444448,,,620,GSC,CCD,systematic_bias,2.0
22,101955,1999 RQ36,C89272,1999-09-12 02:19:48.576000+00:00,25.757475555555555,-26.708614444444446,,,620,GSC,CCD,systematic_bias,2.0
23,101955,1999 RQ36,C89272,1999-09-12 09:24:40.896000+00:00,26.356475555555555,-26.529224444444445,,,670,GSC1.1,CCD,systematic_bias,2.0
24,101955,1999 RQ36,C89272,1999-09-12 09:49:28.704000+00:00,26.386095555555553,-26.519134444444447,,,670,GSC1.1,CCD,systematic_bias,2.0
25,101955,1999 RQ36,C89272,1999-09-12 10:16:27.840000+00:00,26.417675555555554,-26.507664444444448,14.7,R,670,GSC1.1,CCD,systematic_bias,2.0
26,101955,1999 RQ36,C89272,1999-09-12 10:40:33.312000+00:00,26.445845555555554,-26.497084444444447,,,670,GSC1.1,CCD,systematic_bias,2.0
27,101955,1999 RQ36,C89272,1999-09-12 23:33:58.752000+00:00,27.616185555555553,-26.141884444444447,15.3,R,106,USNOA2,CCD,systematic_bias,2.0
28,101955,1999 RQ36,C89272,1999-09-12 23:39:38.304000+00:00,27.635175555555556,-26.133504444444448,,,952,UNK,CCD,systematic_bias,2.0
29,101955,1999 RQ36,C89272,1999-09-12 23:41:08.160000+00:00,27.637345555555555,-26.132774444444447,,,952,UNK,CCD,systematic_bias,2.0
30,101955,1999 RQ36,C89272,1999-09-12 23:43:29.856000+00:00,27.640515555555552,-26.131834444444447,,,952,UNK,CCD,systematic_bias,2.0
31,101955,1999 RQ36,C89272,1999-09-12 23:45:10.080000+00:00,27.642725555555554,-26.131024444444446,,,952,UNK,CCD,systematic_bias,2.0
32,101955,1999 RQ36,C89272,1999-09-12 23:51:25.920000+00:00,27.651345555555555,-26.128364444444447,,,952,UNK,CCD,systematic_bias,2.0
33,101955,1999 RQ36,C89272,1999-09-12 23:54:37.728000+00:00,27.655595555555553,-26.126974444444446,,,952,UNK,CCD,systematic_bias,2.0
34,101955,1999 RQ36,C89272,1999-09-13 00:02:27.744000+00:00,27.654685555555552,-26.128694444444445,15.3,R,106,USNOA2,CCD,systematic_bias,2.0
35,101955,1999 RQ36,C89272,1999-09-13 00:04:43.392000+00:00,27.655725555555552,-26.128864444444446,14.8,R,046,USNOSA2,CCD,systematic_bias,2.0
36,101955,1999 RQ36,C89272,1999-09-13 00:05:56.832000+00:00,27.657345555555555,-26.128274444444447,,,046,USNOSA2,CCD,systematic_bias,2.0
37,101955,1999 RQ36,C89272,1999-09-13 00:06:59.040000+00:00,27.658765555555554,-26.127804444444447,,,046,USNOSA2,CCD,systematic_bias,2.0
38,101955,1999 RQ36,C89272,1999-09-13 00:08:01.248000+00:00,27.660135555555552,-26.127334444444447,,,046,USNOSA2,CCD,systematic_bias,2.0
39,101955,1999 RQ36,C89272,1999-09-13 00:09:00+00:00,27.661475555555555,-26.126864444444447,,,046,USNOSA2,CCD,systematic_bias,2.0
40,101955,1999 RQ36,C89272,1999-09-13 00:43:51.744000+00:00,27.706345555555554,-26.110274444444446,,,118,USNOA2,CCD,systematic_bias,2.0
41,101955,1999 RQ36,C89272,1999-09-13 00:49:33.024000+00:00,27.713885555555553,-26.107444444444447,,,118,USNOA2,CCD,systematic_bias,2.0
42,101955,1999 RQ36,C89272,1999-09-13 00:53:29.760000+00:00,27.719135555555553,-26.105554444444447,,,118,USNOA2,CCD,systematic_bias,2.0
43,101955,1999 RQ36,J99R36Q,1999-09-13 08:21:24.480000+00:00,28.443675555555554,-25.865584444444448,15.1,V,704,USNOA1,CCD,systematic_bias,2.0
44,101955,1999 RQ36,J99R36Q,1999-09-13 08:37:39.936000+00:00,28.466015555555554,-25.857134444444448,15.4,V,704,USNOA1,CCD,systematic_bias,2.0
45,101955,1999 RQ36,J99R36Q,1999-09-13 08:53:30.336000+00:00,28.487885555555554,-25.848944444444445,15.5,V,704,USNOA1,CCD,systematic_bias,2.0
46,101955,1999 RQ36,C89272,1999-09-13 09:01:41.088000+00:00,28.512675555555553,-25.848024444444444,15.3,R,848,UNK,CCD,systematic_bias,2.0
47,101955,1999 RQ36,C89272,1999-09-13 09:02:57.984000+00:00,28.514765555555552,-25.847164444444445,15.1,R,848,UNK,CCD,systematic_bias,2.0
48,101955,1999 RQ36,C89272,1999-09-13 09:04:15.744000+00:00,28.516475555555555,-25.846554444444447,14.6,R,848,UNK,CCD,systematic_bias,2.0
49,101955,1999 RQ36,C89272,1999-09-13 09:05:35.232000+00:00,28.518515555555553,-25.845834444444446,14.6,R,848,UNK,CCD,systematic_bias,2.0
50,101955,1999 RQ36,C89272,1999-09-13 09:06:52.992000+00:00,28.520385555555553,-25.845364444444446,14.3,R,848,UNK,CCD,systematic_bias,2.0
51,101955,1999 RQ36,C89272,1999-09-13 13:54:06.336000+00:00,29.026095555555553,-25.609724444444446,13.8,R,426,USNOSA2,CCD,systematic_bias,2.0
52,101955,1999 RQ36,C89272,1999-09-13 13:57:11.232000+00:00,29.030685555555554,-25.608194444444447,13.8,R,426,USNOSA2,CCD,systematic_bias,2.0
53,101955,1999 RQ36,C89272,1999-09-13 13:59:57.120000+00:00,29.034975555555555,-25.606864444444447,13.6,R,426,USNOSA2,CCD,systematic_bias,2.0
54,101955,1999 RQ36,C89272,1999-09-13 14:26:24.288000+00:00,29.060345555555553,-25.600944444444448,15.5,R,428,GSC,CCD,systematic_bias,2.0
55,101955,1999 RQ36,C89272,1999-09-13 14:28:38.208000+00:00,29.063515555555554,-25.599774444444446,15.6,R,428,GSC,CCD,systematic_bias,2.0
56,101955,1999 RQ36,C89272,1999-09-13 14:30:49.536000+00:00,29.066675555555555,-25.598634444444446,15.6,R,428,GSC,CCD,systematic_bias,2.0
57,101955,1999 RQ36,C89272,1999-09-13 14:33:25.920000+00:00,29.070385555555553,-25.597274444444444,15.6,R,428,GSC,CCD,systematic_bias,2.0
58,101955,1999 RQ36,C89272,1999-09-14 00:12:08.352000+00:00,30.074175555555552,-25.315834444444445,14.4,R,046,USNOSA2,CCD,systematic_bias,2.0
59,101955,1999 RQ36,C89272,1999-09-14 00:13:52.896000+00:00,30.077055555555553,-25.314754444444446,,,046,USNOSA2,CCD,systematic_bias,2.0
60,101955,1999 RQ36,C89272,1999-09-14 00:15:31.392000+00:00,30.079635555555555,-25.313834444444446,,,046,USNOSA2,CCD,systematic_bias,2.0
61,101955,1999 RQ36,C89272,1999-09-14 00:17:04.704000+00:00,30.082135555555553,-25.312864444444447,,,046,USNOSA2,CCD,systematic_bias,2.0
62,101955,1999 RQ36,C89272,1999-09-14 00:41:16.224000+00:00,30.116595555555556,-25.297054444444445,15.4,R,629,GSC,CCD,systematic_bias,2.0
63,101955,1999 RQ36,C89272,1999-09-14 00:48:24.768000+00:00,30.127135555555554,-25.292634444444445,15.5,R,629,GSC,CCD,systematic_bias,2.0
64,101955,1999 RQ36,C89272,1999-09-14 00:51:48.672000+00:00,30.132885555555553,-25.290364444444446,16.2,R,629,GSC,CCD,systematic_bias,2.0
65,101955,1999 RQ36,C89272,1999-09-14 00:55:21.216000+00:00,30.138175555555552,-25.288304444444446,16.0,R,629,GSC,CCD,systematic_bias,2.0
66,101955,1999 RQ36,C89272,1999-09-14 00:56:45.888000+00:00,30.140635555555555,-25.287414444444448,16.4,R,629,GSC,CCD,systematic_bias,2.0
67,101955,1999 RQ36,C89272,1999-09-14 00:59:12.768000+00:00,30.144725555555553,-25.286194444444448,15.5,R,629,GSC,CCD,systematic_bias,2.0
68,101955,1999 RQ36,C89272,1999-09-14 01:01:37.920000+00:00,30.148425555555555,-25.284334444444447,15.8,R,629,GSC,CCD,systematic_bias,2.0
69,101955,1999 RQ36,C89272,1999-09-14 01:04:08.256000+00:00,30.152435555555552,-25.282694444444445,16.1,R,629,GSC,CCD,systematic_bias,2.0
70,101955,1999 RQ36,C89272,1999-09-14 01:05:56.256000+00:00,30.155225555555553,-25.281554444444446,15.8,R,629,GSC,CCD,systematic_bias,2.0
71,101955,1999 RQ36,C89272,1999-09-14 01:07:48.576000+00:00,30.158175555555555,-25.280474444444447,16.3,R,629,GSC,CCD,systematic_bias,2.0
72,101955,1999 RQ36,,1999-09-14 09:09:52.704000+00:00,31.069345555555554,-24.951114444444446,15.4,V,704,USNOA1,CCD,systematic_bias,2.0
73,101955,1999 RQ36,,1999-09-14 09:27:57.024000+00:00,31.099055555555555,-24.938504444444447,15.5,V,704,USNOA1,CCD,systematic_bias,2.0
74,101955,1999 RQ36,,1999-09-14 09:46:03.936000+00:00,31.128935555555554,-24.925834444444448,15.5,V,704,USNOA1,CCD,systematic_bias,2.0
75,101955,1999 RQ36,,1999-09-14 10:04:22.944000+00:00,31.159095555555552,-24.912884444444447,15.8,V,704,USNOA1,CCD,systematic_bias,2.0
76,101955,1999 RQ36,,1999-09-14 10:22:46.272000+00:00,31.189595555555552,-24.899664444444447,15.9,V,704,USNOA1,CCD,systematic_bias,2.0
77,101955,1999 RQ36,C89272,1999-09-14 12:14:20.544000+00:00,31.461725555555553,-24.737884444444447,15.2,R,467,USNOA2,CCD,systematic_bias,2.0
78,101955,1999 RQ36,C89272,1999-09-14 12:15:04.608000+00:00,31.463015555555554,-24.737474444444445,15.1,R,467,USNOA2,CCD,systematic_bias,2.0
79,101955,1999 RQ36,C89272,1999-09-14 12:15:48.672000+00:00,31.464305555555555,-24.736944444444447,15.1,R,467,USNOA2,CCD,systematic_bias,2.0
80,101955,1999 RQ36,C89272,1999-09-14 12:16:32.736000+00:00,31.465555555555554,-24.736504444444446,15.0,R,467,USNOA2,CCD,systematic_bias,2.0
81,101955,1999 RQ36,C89272,1999-09-14 12:28:21.216000+00:00,31.486475555555554,-24.728614444444446,15.3,R,467,USNOA2,CCD,systematic_bias,2.0
82,101955,1999 RQ36,J99R36Q,1999-09-14 14:52:39.360000+00:00,31.766055555555553,-24.631054444444445,,,413,UNK,CCD,systematic_bias,2.0
83,101955,1999 RQ36,J99R36Q,1999-09-14 14:54:05.760000+00:00,31.768555555555555,-24.630054444444447,15.1,R,413,UNK,CCD,systematic_bias,2.0
84,101955,1999 RQ36,J99R36Q,1999-09-14 17:12:18.432000+00:00,32.002385555555556,-24.531164444444446,15.1,R,428,GSC,CCD,systematic_bias,2.0
85,101955,1999 RQ36,J99R36Q,1999-09-14 17:14:27.168000+00:00,32.006185555555554,-24.529414444444445,15.2,R,428,GSC,CCD,systematic_bias,2.0
